ID	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C
ASV_93	17	18	23	0	0	0	16	22	34	35	38	40	32	42	33	0	3	0	0	0	0	0	0	0	16	12	6	0	0	0	0	0	0	4	4	0	0	0	0	0	0	0	28	19	24	4	0	0	7	5	4	0	5	5	0	0	0	0	1	0	8	17	17
ASV_111	0	14	0	21	19	31	45	26	42	38	31	35	15	1	5	0	7	5	0	0	0	3	27	21	0	0	6	0	1	0	12	10	7	0	3	0	10	7	5	0	2	0	8	1	5	7	9	6	0	2	2	0	0	0	0	0	5	0	0	0	12	11	11
ASV_101	0	0	0	117	97	74	24	57	59	27	18	18	16	21	21	0	0	0	0	0	0	0	0	0	12	20	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_201	10	24	6	15	10	5	8	14	5	0	5	4	0	7	1	0	0	8	5	6	1	0	0	0	0	9	2	0	0	0	1	5	0	2	2	7	0	0	0	4	0	0	1	4	2	10	4	8	1	0	0	0	0	0	0	0	1	0	0	0	0	1	1
ASV_51	65	65	46	296	297	264	53	152	134	31	17	24	53	30	42	0	18	0	5	0	0	0	0	0	71	45	51	0	0	0	0	0	0	0	0	0	11	0	0	15	0	0	18	7	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_171	15	41	22	31	38	28	9	23	13	7	0	4	0	1	4	0	0	0	0	0	0	0	0	0	4	6	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_90	0	2	0	4	4	3	34	17	45	16	19	19	4	14	16	21	6	32	42	41	59	7	4	1	22	2	10	0	2	7	0	0	0	45	51	44	3	0	0	16	8	10	10	0	2	0	0	0	10	13	9	5	4	8	5	10	9	5	3	1	0	0	0
ASV_31	9	12	2	8	5	10	52	34	21	21	12	23	10	12	17	20	22	20	13	12	9	10	7	8	4	5	5	13	8	10	8	5	10	22	8	27	8	11	14	12	19	13	6	2	3	2	2	2	1	2	8	15	12	19	7	10	21	2	1	0	0	0	1
ASV_209	2	4	8	8	0	6	4	5	6	6	7	7	17	16	12	0	0	0	5	16	10	0	0	2	4	3	0	0	0	5	0	0	1	2	5	3	6	0	0	4	7	4	0	0	0	3	0	1	2	6	3	4	0	8	0	0	1	1	1	1	2	0	0
ASV_38	35	23	40	31	32	43	52	63	38	46	44	28	135	139	144	115	86	157	52	70	66	62	52	74	39	29	33	13	24	36	71	24	27	49	57	34	38	38	27	57	44	49	20	10	13	12	13	11	56	95	71	27	34	39	21	22	39	4	2	0	9	10	8
ASV_100	25	55	34	17	12	18	12	43	43	8	16	13	6	10	15	0	7	0	5	3	0	0	0	0	10	11	8	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	37	3	14	5	18	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
ASV_23	288	204	288	85	85	122	111	101	75	76	107	88	36	53	63	30	37	26	162	148	152	46	46	54	35	26	21	16	23	16	53	42	31	26	38	27	58	12	60	30	40	38	31	22	24	73	60	70	45	45	39	56	94	109	16	10	24	8	21	8	9	9	14
ASV_177	7	8	2	0	0	7	6	4	0	12	0	0	4	5	9	13	12	16	18	11	19	0	0	4	9	0	7	0	0	7	21	2	1	0	6	0	8	0	0	7	0	2	0	0	0	0	3	0	3	0	2	0	2	0	0	0	6	2	6	4	0	0	0
ASV_127	13	45	28	30	16	26	16	7	9	16	18	14	6	17	23	0	6	0	0	0	0	0	0	0	6	11	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	9	9	10	11	7	0	0	0	0	0	0	0	0	0	0	0	0	8	2	4
ASV_191	4	5	2	11	14	20	9	13	13	5	3	10	4	10	19	0	0	0	0	0	0	0	0	2	10	6	6	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	6	2	4	3	1	4	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1
